x,y,2dKDE
-65.0,15.0,7.591668745092393e-05
-65.0,16.0,7.170097961953958e-05
-65.0,17.0,6.78918082941859e-05
-65.0,18.0,6.499588584531031e-05
-65.0,19.0,6.295362916370085e-05
-65.0,20.0,6.134893627797093e-05
-65.0,21.0,5.9705764353682404e-05
-65.0,22.0,5.767513481174386e-05
-65.0,23.0,5.504343659527269e-05
-65.0,24.0,5.164408370121854e-05
-65.0,25.0,4.7311156895059324e-05
-65.0,26.0,4.194485758743232e-05
-65.0,27.0,3.563852912196392e-05
-65.0,28.0,2.8752289529595033e-05
-65.0,29.0,2.1855864095389778e-05
-64.0,-30.0,2.0771290198120032e-05
-64.0,-29.0,2.8232044148171955e-05
-64.0,-28.0,3.5999431960380624e-05
-64.0,-27.0,4.334188219176652e-05
-64.0,-26.0,4.9676382508017106e-05
-64.0,-25.0,5.473105354297798e-05
-64.0,-24.0,5.8557731842538944e-05
-64.0,-23.0,6.140312374021838e-05
-64.0,-22.0,6.353508702990013e-05
-64.0,-21.0,6.51340858723405e-05
-64.0,-20.0,6.62927133911693e-05
-64.0,-19.0,6.708109313559605e-05
-64.0,-18.0,6.760323763292588e-05
-64.0,-17.0,6.800177140265786e-05
-64.0,-16.0,6.841975964743237e-05
-64.0,-15.0,6.895140091225549e-05
-64.0,-14.0,6.9605477183009e-05
-64.0,-13.0,7.02944180811865e-05
-64.0,-12.0,7.085989613920607e-05
-64.0,-11.0,7.113705889615197e-05
-64.0,-10.0,7.103306728252144e-05
-64.0,-9.0,7.057335846348364e-05
-64.0,-8.0,6.988292094913356e-05
-64.0,-7.0,6.911682159366109e-05
-64.0,-6.0,6.839115341814413e-05
-64.0,-5.0,6.775658345998233e-05
-64.0,-4.0,6.721484778010702e-05
-64.0,-3.0,6.674893066326693e-05
-64.0,-2.0,6.634350433896035e-05
-64.0,-1.0,6.599286599746722e-05
-64.0,0.0,6.569956757194026e-05
-64.0,1.0,6.546124590991597e-05
-64.0,2.0,6.525193678922339e-05
-64.0,3.0,6.502959088239208e-05
-64.0,4.0,6.480542225743828e-05
-64.0,5.0,6.476007823843852e-05
-64.0,6.0,6.531436750417407e-05
-64.0,7.0,6.703860910384931e-05
-64.0,8.0,7.036920588390312e-05
-64.0,9.0,7.525409069418864e-05
-64.0,10.0,8.0952977720916e-05
-64.0,11.0,8.617384538592743e-05
-64.0,12.0,8.953987015742766e-05
-64.0,13.0,9.016840679784391e-05
-64.0,14.0,8.805151150639899e-05
-64.0,15.0,8.402585932244774e-05
-64.0,16.0,7.935223973414971e-05
-64.0,17.0,7.514475464111236e-05
-64.0,18.0,7.19580477223359e-05
-64.0,19.0,6.971834793456439e-05
-64.0,20.0,6.795939239384983e-05
-64.0,21.0,6.615266686151773e-05
-64.0,22.0,6.391381128948477e-05
-64.0,23.0,6.100941528940657e-05
-64.0,24.0,5.725668647616382e-05
-64.0,25.0,5.2470920561656096e-05
-64.0,26.0,4.653855249986007e-05
-64.0,27.0,3.955955734675489e-05
-64.0,28.0,3.193077426813481e-05
-64.0,29.0,2.4283479206368994e-05
-63.0,-30.0,2.279854749166382e-05
-63.0,-29.0,3.100892043305677e-05
-63.0,-28.0,3.9564790834586784e-05
-63.0,-27.0,4.765808508046027e-05
-63.0,-26.0,5.464046213222616e-05
-63.0,-25.0,6.020434118569553e-05
-63.0,-24.0,6.4400287659473e-05
-63.0,-23.0,6.749849145756102e-05
-63.0,-22.0,6.979882546876063e-05
-63.0,-21.0,7.150980990078508e-05
-63.0,-20.0,7.274434209115677e-05
-63.0,-19.0,7.35874046451258e-05
-63.0,-18.0,7.415503570696492e-05
-63.0,-17.0,7.459881576271295e-05
-63.0,-16.0,7.50657565721314e-05
-63.0,-15.0,7.564795335127434e-05
-63.0,-14.0,7.634694048209642e-05
-63.0,-13.0,7.706509025229093e-05
-63.0,-12.0,7.763452856107208e-05
-63.0,-11.0,7.788550161419123e-05
-63.0,-10.0,7.772856165584247e-05
-63.0,-9.0,7.720136891972686e-05
-63.0,-8.0,7.644583724340773e-05
-63.0,-7.0,7.563173117271723e-05
-63.0,-6.0,7.488218589713332e-05
-63.0,-5.0,7.424627468696329e-05
-63.0,-4.0,7.371816218949521e-05
-63.0,-3.0,7.327064012142654e-05
-63.0,-2.0,7.287792324148126e-05
-63.0,-1.0,7.252544725345793e-05
-63.0,0.0,7.221048568218e-05
-63.0,1.0,7.193022733003014e-05
-63.0,2.0,7.166276627007247e-05
-63.0,3.0,7.137436359407978e-05
-63.0,4.0,7.109171573718671e-05
-63.0,5.0,7.102404133775698e-05
-63.0,6.0,7.16361905687245e-05
-63.0,7.0,7.354784015708728e-05
-63.0,8.0,7.722511981356744e-05
-63.0,9.0,8.259699963863918e-05
-63.0,10.0,8.884188893606149e-05
-63.0,11.0,9.454103921129517e-05
-63.0,12.0,9.819104335894196e-05
-63.0,13.0,9.883597616436948e-05
-63.0,14.0,9.64799408499295e-05
-63.0,15.0,9.204930028801507e-05
-63.0,16.0,8.692861779758577e-05
-63.0,17.0,8.233477740200577e-05
-63.0,18.0,7.886725103606032e-05
-63.0,19.0,7.643675140858966e-05
-63.0,20.0,7.45274274905562e-05
-63.0,21.0,7.256005473038455e-05
-63.0,22.0,7.011676057784504e-05
-63.0,23.0,6.694541285562823e-05
-63.0,24.0,6.284693721814364e-05
-63.0,25.0,5.7616829187129934e-05
-63.0,26.0,5.11263650797422e-05
-63.0,27.0,4.348097274200697e-05
-63.0,28.0,3.511361784486536e-05
-63.0,29.0,2.6717181484104602e-05
-62.0,-30.0,2.478884679850523e-05
-62.0,-29.0,3.3742261212366254e-05
-62.0,-28.0,4.308315309036664e-05
-62.0,-27.0,5.192731064883636e-05
-62.0,-26.0,5.9559869192354786e-05
-62.0,-25.0,6.563496738683987e-05
-62.0,-24.0,7.019888597418293e-05
-62.0,-23.0,7.354320081776874e-05
-62.0,-22.0,7.599970150537677e-05
-62.0,-21.0,7.78071018508784e-05
-62.0,-20.0,7.910221257199399e-05
-62.0,-19.0,7.998852806991478e-05
-62.0,-18.0,8.059633720261663e-05
-62.0,-17.0,8.108605898820733e-05
-62.0,-16.0,8.160619085090404e-05
-62.0,-15.0,8.224285369568298e-05
-62.0,-14.0,8.298659175479403e-05
-62.0,-13.0,8.372764478114668e-05
-62.0,-12.0,8.42890580551489e-05
-62.0,-11.0,8.449899405176578e-05
-62.0,-10.0,8.427542958423036e-05
-62.0,-9.0,8.367199919453597e-05
-62.0,-8.0,8.284984888580833e-05
-62.0,-7.0,8.199387801187458e-05
-62.0,-6.0,8.123308846549308e-05
-62.0,-5.0,8.061276109073588e-05
-62.0,-4.0,8.011684020656507e-05
-62.0,-3.0,7.97052296415588e-05
-62.0,-2.0,7.933922738495446e-05
-62.0,-1.0,7.899347700184351e-05
-62.0,0.0,7.865895275660331e-05
-62.0,1.0,7.833267712170869e-05
-62.0,2.0,7.799853775681998e-05
-62.0,3.0,7.763389168563575e-05
-62.0,4.0,7.728367753960543e-05
-62.0,5.0,7.718699136718001e-05
-62.0,6.0,7.78515524141371e-05
-62.0,7.0,7.994293293713481e-05
-62.0,8.0,8.395291249780366e-05
-62.0,9.0,8.978931618434515e-05
-62.0,10.0,9.655093270391553e-05
-62.0,11.0,0.00010269796632139032
-62.0,12.0,0.00010660804292149984
-62.0,13.0,0.00010725822522496271
-62.0,14.0,0.00010466681661136513
-62.0,15.0,9.98471285859273e-05
-62.0,16.0,9.430139143010159e-05
-62.0,17.0,8.934267008549974e-05
-62.0,18.0,8.561083559781601e-05
-62.0,19.0,8.30000636793382e-05
-62.0,20.0,8.094681836531567e-05
-62.0,21.0,7.88244012648997e-05
-62.0,22.0,7.618430186413167e-05
-62.0,23.0,7.275715507714508e-05
-62.0,24.0,6.832756928386004e-05
-62.0,25.0,6.267014786310462e-05
-62.0,26.0,5.5639487328639506e-05
-62.0,27.0,4.7344996398393236e-05
-62.0,28.0,3.825460030175707e-05
-62.0,29.0,2.9122025003661722e-05
-61.0,-30.0,2.671103027199227e-05
-61.0,-29.0,3.6390934002206145e-05
-61.0,-28.0,4.65038454283764e-05
-61.0,-27.0,5.609088033517045e-05
-61.0,-26.0,6.437003904175768e-05
-61.0,-25.0,7.095441999879246e-05
-61.0,-24.0,7.588217979713611e-05
-61.0,-23.0,7.946315653854136e-05
-61.0,-22.0,8.206026238121387e-05
-61.0,-21.0,8.394450274264399e-05
-61.0,-20.0,8.528079455854439e-05
-61.0,-19.0,8.619567071327458e-05
-61.0,-18.0,8.683662537038351e-05
-61.0,-17.0,8.737304847575153e-05
-61.0,-16.0,8.795211360361779e-05
-61.0,-15.0,8.864927091212513e-05
-61.0,-14.0,8.943934198824668e-05
-61.0,-13.0,9.019759116558685e-05
-61.0,-12.0,9.07382016524479e-05
-61.0,-11.0,9.089041096414724e-05
-61.0,-10.0,9.058439440671254e-05
-61.0,-9.0,8.989431748961289e-05
-61.0,-8.0,8.900343115743021e-05
-61.0,-7.0,8.811238256151422e-05
-61.0,-6.0,8.735466713251341e-05
-61.0,-5.0,8.676912673533103e-05
-61.0,-4.0,8.632630219620324e-05
-61.0,-3.0,8.597005250013124e-05
-61.0,-2.0,8.564602734412561e-05
-61.0,-1.0,8.531610609958258e-05
-61.0,0.0,8.496409240685541e-05
-61.0,1.0,8.458737541435993e-05
-61.0,2.0,8.417762285978574e-05
-61.0,3.0,8.372620689747774e-05
-61.0,4.0,8.329892578172603e-05
-61.0,5.0,8.316547338723999e-05
-61.0,6.0,8.38742055644629e-05
-61.0,7.0,8.613188159896795e-05
-61.0,8.0,9.045106424459912e-05
-61.0,9.0,9.671666279824279e-05
-61.0,10.0,0.00010395151567271843
-61.0,11.0,0.00011050362835426395
-61.0,12.0,0.00011464248529487046
-61.0,13.0,0.00011528627709865866
-61.0,14.0,0.00011246933449318028
-61.0,15.0,0.00010728682047507647
-61.0,16.0,0.00010134925113509917
-61.0,17.0,9.605652005109927e-05
-61.0,18.0,9.20832339307072e-05
-61.0,19.0,8.930640542794081e-05
-61.0,20.0,8.711809271476959e-05
-61.0,21.0,8.484882797441928e-05
-61.0,22.0,8.202329542840476e-05
-61.0,23.0,7.835673357103132e-05
-61.0,24.0,7.361738039232548e-05
-61.0,25.0,6.755774178222527e-05
-61.0,26.0,6.001407958453337e-05
-61.0,27.0,5.1098050141507894e-05
-61.0,28.0,4.131086255915528e-05
-61.0,29.0,3.1465593072504726e-05
-60.0,-30.0,2.8536238464308256e-05
-60.0,-29.0,3.8917064473034584e-05
-60.0,-28.0,4.978055952948745e-05
-60.0,-27.0,6.0095662439658825e-05
-60.0,-26.0,6.901311780718587e-05
-60.0,-25.0,7.610194480018371e-05
-60.0,-24.0,8.138742388540436e-05
-60.0,-23.0,8.519344961734239e-05
-60.0,-22.0,8.791255766240937e-05
-60.0,-21.0,8.985015021455277e-05
-60.0,-20.0,9.120412563627291e-05
-60.0,-19.0,9.212958542441046e-05
-60.0,-18.0,9.27950378177672e-05
-60.0,-17.0,9.33793065050558e-05
-60.0,-16.0,9.402509128609462e-05
-60.0,-15.0,9.479157987292903e-05
-60.0,-14.0,9.563202137529015e-05
-60.0,-13.0,9.640294993447017e-05
-60.0,-12.0,9.690954480865779e-05
-60.0,-11.0,9.698557524875124e-05
-60.0,-10.0,9.657896908902559e-05
-60.0,-9.0,9.578988670770543e-05
-60.0,-8.0,9.482723999884837e-05
-60.0,-7.0,9.390829307833701e-05
-60.0,-6.0,9.31694751332904e-05
-60.0,-5.0,9.264004059640637e-05
-60.0,-4.0,9.227332784746868e-05
-60.0,-3.0,9.199347433602347e-05
-60.0,-2.0,9.172748146429627e-05
-60.0,-1.0,9.142252307448586e-05
-60.0,0.0,9.105462109242224e-05
-60.0,1.0,9.062241201668027e-05
-60.0,2.0,9.012761326749375e-05
-60.0,3.0,8.957861440995442e-05
-60.0,4.0,8.90644446472223e-05
-60.0,5.0,8.888543930424637e-05
-60.0,6.0,8.962728505787788e-05
-60.0,7.0,9.203206048185983e-05
-60.0,8.0,9.662760235783087e-05
-60.0,9.0,0.00010327466711847995
-60.0,10.0,0.0001109258148541533
-60.0,11.0,0.00011782874853486214
-60.0,12.0,0.0001221586285948674
-60.0,13.0,0.00012278456211097785
-60.0,14.0,0.00011975827123404313
-60.0,15.0,0.00011424931364338256
-60.0,16.0,0.00010796395501256837
-60.0,17.0,0.00010237698896715006
-60.0,18.0,9.819101081742216e-05
-60.0,19.0,9.526571066722069e-05
-60.0,20.0,9.295337942342851e-05
-60.0,21.0,9.05478763074728e-05
-60.0,22.0,8.755177671134562e-05
-60.0,23.0,8.366702344006618e-05
-60.0,24.0,7.864535276396676e-05
-60.0,25.0,7.221582089578628e-05
-60.0,26.0,6.419456714187643e-05
-60.0,27.0,5.469354555866757e-05
-60.0,28.0,4.42451547886243e-05
-60.0,29.0,3.371971179129607e-05
-59.0,-30.0,3.0238979323578426e-05
-59.0,-29.0,4.128747896047975e-05
-59.0,-28.0,5.287317137746698e-05
-59.0,-27.0,6.38962281310473e-05
-59.0,-26.0,7.344038138152581e-05
-59.0,-25.0,8.10271416799802e-05
-59.0,-24.0,8.666317450808331e-05
-59.0,-23.0,9.06811159283816e-05
-59.0,-22.0,9.350094358391536e-05
-59.0,-21.0,9.546463709619192e-05
-59.0,-20.0,9.680873783130732e-05
-59.0,-19.0,9.772356992409547e-05
-59.0,-18.0,9.840342732423067e-05
-59.0,-17.0,9.90374270470419e-05
